"","CarbonTaxLevel","CarbonTaxRevenue","CarbonTaxDeltaCarbon","CarbonTaxDeltaDD"
"2214",22.14,57.3899554461658,-191.519683279005,-0.192779065416992
"2215",22.15,57.4140143812917,-191.603766979436,-0.192865436278512
"2216",22.16,57.4380716874526,-191.687848301301,-0.192951806553174
"2217",22.17,57.4621273647254,-191.771927244349,-0.193038176241116
"2218",22.18,57.4861814131872,-191.856003808326,-0.193124545342347
"2219",22.19,57.5102338329148,-191.940077992977,-0.193210913856959
"2220",22.2,57.5342846239855,-192.024149798052,-0.193297281785044
"2221",22.21,57.5583337864761,-192.108219223294,-0.193383649126652
"2222",22.22,57.5823813204636,-192.192286268453,-0.193470015881878
"2223",22.23,57.6064272260251,-192.276350933275,-0.193556382050803
"2224",22.24,57.6304715032377,-192.360413217505,-0.193642747633463
"2225",22.25,57.6545141521784,-192.444473120891,-0.193729112629964
"2226",22.26,57.6785551729242,-192.528530643181,-0.193815477040382
"2227",22.27,57.7025945655523,-192.61258578412,-0.193901840864763
"2228",22.28,57.7266323301396,-192.696638543456,-0.193988204103224
"2229",22.29,57.7506684667634,-192.780688920935,-0.194074566755808
"2230",22.3,57.7747029755006,-192.864736916304,-0.194160928822588
"2231",22.31,57.7987358564285,-192.948782529312,-0.194247290303646
"2232",22.32,57.822767109624,-193.032825759705,-0.194333651199057
"2233",22.33,57.8467967351644,-193.116866607227,-0.194420011508908
"2234",22.34,57.8708247331268,-193.200905071629,-0.194506371233256
"2235",22.35,57.8948511035884,-193.284941152656,-0.194592730372193
"2236",22.36,57.9188758466262,-193.368974850055,-0.19467908892577
"2237",22.37,57.9428989623175,-193.453006163573,-0.194765446894074
"2238",22.38,57.9669204507394,-193.537035092959,-0.194851804277185
"2239",22.39,57.9909403119691,-193.621061637958,-0.194938161075155
"2240",22.4,58.0149585460839,-193.705085798318,-0.195024517288093
"2241",22.41,58.0389751531609,-193.789107573785,-0.195110872916044
"2242",22.42,58.0629901332773,-193.873126964108,-0.195197227959118
"2243",22.43,58.0870034865104,-193.957143969034,-0.195283582417353
"2244",22.44,58.1110152129374,-194.041158588307,-0.19536993629083
"2245",22.45,58.1350253126355,-194.125170821679,-0.195456289579629
"2246",22.46,58.1590337856821,-194.209180668893,-0.195542642283842
"2247",22.47,58.1830406321543,-194.293188129698,-0.195628994403518
"2248",22.48,58.2070458521294,-194.377193203843,-0.195715345938748
"2249",22.49,58.2310494456848,-194.461195891073,-0.195801696889591
"2250",22.5,58.2550514128977,-194.545196191135,-0.195888047256145
"2251",22.51,58.2790517538453,-194.629194103779,-0.19597439703846
"2252",22.52,58.3030504686051,-194.71318962875,-0.196060746236618
"2253",22.53,58.3270475572544,-194.797182765796,-0.196147094850719
"2254",22.54,58.3510430198705,-194.881173514664,-0.196233442880794
"2255",22.55,58.3750368565307,-194.965161875102,-0.196319790326955
"2256",22.56,58.3990290673123,-195.049147846856,-0.196406137189266
"2257",22.57,58.4230196522928,-195.133131429676,-0.196492483467791
"2258",22.58,58.4470086115495,-195.217112623307,-0.196578829162621
"2259",22.59,58.4709959451598,-195.3010914275,-0.196665174273813
"2260",22.6,58.494981653201,-195.385067841998,-0.196751518801452
"2261",22.61,58.5189657357507,-195.469041866551,-0.19683786274562
"2262",22.62,58.5429481928861,-195.553013500905,-0.196924206106381
"2263",22.63,58.5669290246847,-195.636982744811,-0.197010548883818
"2264",22.64,58.590908231224,-195.720949598013,-0.197096891077991
"2265",22.65,58.6148858125813,-195.804914060259,-0.197183232688991
"2266",22.66,58.6388617688342,-195.888876131299,-0.197269573716898
"2267",22.67,58.66283610006,-195.972835810879,-0.197355914161771
"2268",22.68,58.6868088063362,-196.056793098745,-0.197442254023692
"2269",22.69,58.7107798877404,-196.140747994648,-0.197528593302734
"2270",22.7,58.73474934435,-196.224700498334,-0.197614931998968
"2271",22.71,58.7587171762425,-196.308650609551,-0.197701270112489
"2272",22.72,58.7826833834954,-196.392598328046,-0.197787607643342
"2273",22.73,58.8066479661862,-196.476543653568,-0.19787394459164
"2274",22.74,58.8306109243925,-196.560486585863,-0.197960280957418
"2275",22.75,58.8545722581917,-196.644427124681,-0.198046616740784
"2276",22.76,58.8785319676614,-196.728365269768,-0.198132951941792
"2277",22.77,58.9024900528793,-196.812301020872,-0.198219286560528
"2278",22.78,58.9264465139228,-196.896234377743,-0.198305620597051
"2279",22.79,58.9504013508695,-196.980165340127,-0.198391954051465
"2280",22.8,58.974354563797,-197.064093907771,-0.198478286923818
"2281",22.81,58.9983061527829,-197.148020080425,-0.198564619214211
"2282",22.82,59.0222561179048,-197.231943857835,-0.198650950922698
"2283",22.83,59.0462044592403,-197.315865239751,-0.19873728204937
"2284",22.84,59.070151176867,-197.399784225919,-0.198823612594266
"2285",22.85,59.0940962708625,-197.483700816089,-0.198909942557527
"2286",22.86,59.1180397413046,-197.567615010007,-0.198996271939169
"2287",22.87,59.1419815882708,-197.651526807422,-0.199082600739286
"2288",22.88,59.1659218118388,-197.735436208082,-0.199168928957976
"2289",22.89,59.1898604120863,-197.819343211736,-0.19925525659529
"2290",22.9,59.213797389091,-197.90324781813,-0.19934158365131
"2291",22.91,59.2377327429305,-197.987150027013,-0.199427910126103
"2292",22.92,59.2616664736825,-198.071049838134,-0.199514236019757
"2293",22.93,59.2855985814248,-198.154947251241,-0.199600561332344
"2294",22.94,59.3095290662351,-198.238842266082,-0.199686886063938
"2295",22.95,59.333457928191,-198.322734882403,-0.199773210214618
"2296",22.96,59.3573851673704,-198.406625099955,-0.199859533784468
"2297",22.97,59.381310783851,-198.490512918485,-0.199945856773531
"2298",22.98,59.4052347777105,-198.574398337742,-0.200032179181917
"2299",22.99,59.4291571490267,-198.658281357473,-0.200118501009693
"2300",23,59.4530778978773,-198.742161977428,-0.20020482225692
"2301",23.01,59.4769970243402,-198.826040197354,-0.200291142923691
"2302",23.02,59.5009145284932,-198.909916016999,-0.200377463010074
"2303",23.03,59.5248304104141,-198.993789436113,-0.200463782516147
"2304",23.04,59.5487446701806,-199.077660454443,-0.200550101441983
"2305",23.05,59.5726573078706,-199.161529071738,-0.200636419787675
"2306",23.06,59.596568323562,-199.245395287745,-0.200722737553271
"2307",23.07,59.6204777173324,-199.329259102215,-0.200809054738866
"2308",23.08,59.64438548926,-199.413120514895,-0.200895371344524
"2309",23.09,59.6682916394224,-199.496979525533,-0.20098168737034
"2310",23.1,59.6921961678976,-199.580836133878,-0.201068002816353
"2311",23.11,59.7160990747634,-199.664690339679,-0.201154317682683
"2312",23.12,59.7400003600977,-199.748542142684,-0.201240631969387
"2313",23.13,59.7639000239785,-199.832391542641,-0.201326945676536
"2314",23.14,59.7877980664836,-199.9162385393,-0.201413258804187
"2315",23.15,59.8116944876909,-200.000083132408,-0.201499571352474
"2316",23.16,59.8355892876785,-200.083925321714,-0.201585883321417
"2317",23.17,59.8594824665241,-200.167765106967,-0.201672194711113
"2318",23.18,59.8833740243058,-200.251602487916,-0.201758505521642
"2319",23.19,59.9072639611016,-200.335437464309,-0.201844815753084
"2320",23.2,59.9311522769894,-200.419270035896,-0.201931125405493
"2321",23.21,59.9550389720471,-200.503100202422,-0.202017434478966
"2322",23.22,59.9789240463528,-200.58692796364,-0.202103742973581
"2323",23.23,60.0028074999845,-200.670753319297,-0.202190050889392
"2324",23.24,60.0266893330201,-200.754576269142,-0.202276358226501
"2325",23.25,60.0505695455377,-200.838396812923,-0.202362664984959
"2326",23.26,60.0744481376153,-200.92221495039,-0.20244897116486
"2327",23.27,60.0983251093309,-201.00603068129,-0.20253527676628
"2328",23.28,60.1222004607626,-201.089844005375,-0.20262158178928
"2329",23.29,60.1460741919885,-201.173654922391,-0.202707886233959
"2330",23.3,60.1699463030865,-201.257463432088,-0.202794190100395
"2331",23.31,60.1938167941348,-201.341269534214,-0.20288049338862
"2332",23.32,60.2176856652115,-201.425073228519,-0.202966796098759
"2333",23.33,60.2415529163946,-201.508874514752,-0.203053098230862
"2334",23.34,60.2654185477622,-201.59267339266,-0.203139399785018
"2335",23.35,60.2892825593925,-201.676469861995,-0.203225700761303
"2336",23.36,60.3131449513636,-201.760263922505,-0.203312001159785
"2337",23.37,60.3370057237536,-201.844055573938,-0.203398300980544
"2338",23.38,60.3608648766406,-201.927844816043,-0.203484600223662
"2339",23.39,60.3847224101029,-202.01163164857,-0.203570898889207
"2340",23.4,60.4085783242185,-202.095416071268,-0.203657196977261
"2341",23.41,60.4324326190656,-202.179198083885,-0.203743494487913
"2342",23.42,60.4562852947224,-202.262977686171,-0.203829791421205
"2343",23.43,60.4801363512671,-202.346754877876,-0.203916087777236
"2344",23.44,60.5039857887779,-202.430529658748,-0.204002383556104
"2345",23.45,60.527833607333,-202.514302028536,-0.20408867875784
"2346",23.46,60.5516798070106,-202.598071986989,-0.204174973382553
"2347",23.47,60.5755243878889,-202.681839533858,-0.204261267430301
"2348",23.48,60.5993673500462,-202.765604668891,-0.204347560901173
"2349",23.49,60.6232086935607,-202.849367391837,-0.20443385379525
"2350",23.5,60.6470484185106,-202.933127702446,-0.204520146112585
"2351",23.51,60.6708865249743,-203.016885600467,-0.204606437853291
"2352",23.52,60.69472301303,-203.100641085649,-0.204692729017404
"2353",23.53,60.7185578827561,-203.184394157742,-0.204779019605031
"2354",23.54,60.7423911342306,-203.268144816494,-0.204865309616235
"2355",23.55,60.7662227675321,-203.351893061656,-0.204951599051094
"2356",23.56,60.7900527827388,-203.435638892977,-0.205037887909695
"2357",23.57,60.8138811799289,-203.519382310207,-0.205124176192103
"2358",23.58,60.837707959181,-203.603123313092,-0.205210463898396
"2359",23.59,60.8615331205732,-203.686861901386,-0.205296751028665
"2360",23.6,60.885356664184,-203.770598074837,-0.205383037582965
"2361",23.61,60.9091785900916,-203.854331833193,-0.205469323561388
"2362",23.62,60.9329988983745,-203.938063176205,-0.20555560896401
